_id;author_details;title;isbn;description;genre
1;Salvatori, Franco|Renzo, Ernesto Di;Roma E La Sua Campagna Itinerari Del Xx Secolo;9788888692364;;Social Science / Sociology / Urban
2;Pianesi, Mario;Un Manuale Di Alimentazione;;;
3;Phalle, Niki de Saint|Pietromarchi, Giulio;Il Giardino Dei Tarocchi - Niki de Saint Phalle;9783716510933;;
4;Zanoncelli, Anastasia|Selene Conti, Francesca Mazzini;Proverbi E Modi Di Dire Contadini. Filosofia, Scienza, Fede, Distillate Nel Tempo;9788867210541;A cosa servono i proverbi al giorno d'oggi, tra un pululare di corsi, master e formazioni varie? [...] Servono per ricordarci che il sentire popolare, con la sua semplicistica rappresentazione della realtà, altro non è che l'espressione più verace e goliardica della vita.;Social Science / Folklore & Mythology
5;Abbott, Edwin A.|d'Amico, Masolino|Manganelli, Giorgio;Flatlandia;9788845909825;"""Il mondo è una superficie piana come quella di una carta geografica, sulla quale i flatlandesi scivolano senza sovrapporsi. La loro è una società rigidamente gerarchica: la casta più vile è quella delle donne, semplici righette con sulla punta un occhio, come aghi; viste dall'altro estremo, le donne diventano invisibili, così che a loro basta rivoltarsi per scomparire. Se un maschio per caso si imbatte nell'invisibile didietro di una donna, può rimanerne trafitto, per ciò la legge impone alle femmine l'obbligo di dimenarsi sinuosamente, senza sosta, per evitare incidenti"". Un classico del fantastico, con un saggio di Giorgio Manganelli.";Fiction / Classics
6;Segnit, Niki;La Grammatica Dei Sapori: E Delle Loro Infinite Combinazioni;9788858004401;"dal sito della Gribaudo: <a href=""http://www.gribaudo.it/opera/opera/la-grammatica-dei-sapori/"" target=""_blank"" rel=""nofollow"">http://www.gribaudo.it/opera/opera/la...</a><br><br>Una guida originale per sperimentare i sapori attraverso svariate combinazioni, dai classici cioccolato e nocciole agli insoliti caffè e formaggio di capra.<br>Un libro unico, che offre idee e spunti creativi per una cucina tutta da scoprire.<br><br>Tostati<br>Carnosi<br>Caseari<br>Di terra<br>Senapati<br>Sulfurei<br>Di mare<br>Sale e salamoia<br>Erbe e verde<br>Speziati<br>Di bosco<br>Fruttati freschi<br>Fruttati cremosi<br>Agrumati<br>Di rovo e siepe<br>Fruttati fioriti";Cooking / General
7;Elwood, Roger;Le Citta Che Ci Aspettano;;;
8;Piasecki, Sergiusz|Mercatali, Luciano|Radomska, Evelina;Nessuno Ci Salva, Etc. (La Piccola Mela. Guardando Dalla Finestra. Nessuno Ci Darà La Salvezza.);;;
9;Tse-tung, Mao|Piao, Lin;Citazioni: Il Libretto Rosso;9788879834964;"Creatore e guida carismatica del partito comunista cinese, Mao Tse-tung è stato un punto di riferimento essenziale per il pensiero marxista-leninista.Il suo pensiero è diventato una vera e propria Bibbia per operai, contadini, soldati e intellettuali della Cina, che ne hanno tratto insegnamenti pratici e teorici. Il credo maoista ci viene consegnato in queste pagine in tutta la sua integrità. Traspare una straordinaria forza ideologica, che ha avuto il poteredi trascinare le masse infiammando gli animi di milioni di uomini. Ha scritto Lin Piao nell'introduzione: ""Quando le masse si saranno impadronite del pensiero di Mao Tse-tung esso diventerà una inesauribile sorgente di forza, una bomba atomica spirituale di potenza senza pari"".";Politica
10;Filippi, Massimo;I Margini Dei Diritti Animali;9788897011187;Book by Massimo Filippi;Philosophy / History & Surveys / Modern
11;Andersen, Hans Christian|Berni, Bruno|Cerami, Vincenzo|Andersen, H. Christian;Fiabe E Storie;9788807822643;"Le fiabe di Hans Christian Andersen, composte e pubblicate in danese fra il 1835 e il 1874, scaturiscono n gran parte dalla fantasia originale dell'autore e solo in minima parte dalla materia popolare cui pure, almeno inizialmente, egli dichiarò di ispirarsi. Il fatto è che - come mette in evidenza Vincenzo Cerami nell'introduzione al volume - Andersen non si limita a ripercorrere e reinterpretare il filo della grande tradizione favolistica europea, inaugurata da Basile, fissata da Perrault e ulteriormente strutturata da Hoffmann. Dotato di un'inquieta tensione romantica e di un'autentica consapevolezza borghese, Andersen ""cambia radicalmente a prospettiva della fiaba"". Prima di lui maghi, streghe, gnomi, draghi, fate e orchi erano figure dotate di poteri speciali, dalla sapienza impenetrabile, misteriosa, ignota al lettore. Andersen, al contrario, opera una sorta di umanizzazione di animali e cose, ""mettendo in scena protagonisti di sconsolata umanità, immergendosi in creature che per il semplice fatto di non esistere in natura sono segretamente afflitte da un rovello interiore"". Questa dimensione complessa, piena, consapevolmente adulta, che fa delle pagine di Andersen un capolavoro della ""letteratura pura"", diventa finalmente percepibile a pieno da parte del lettore italiano, di fronte al corpo completo delle 156 fiabe e storie, riunite qui da Bruno Berni, con una cura meticolosa, in una traduzione omogenea e integrale, condotta sull'edizione critica danese.";Fiction / Short Stories (single author)
12;Ravaro, Fernando;Dizionario Romanesco;9788854144231;"Presentando una raccolta di oltre 11.000 voci, 18.000 citazioni di autori di ogni tempo, più di 7000 locuzioni e forme tipiche, frutto di un ventennio di studi, osservazioni, ricerche, questo dizionario vuole contribuire alla conservazione e alla divulgazione di uno dei più negletti e trascurati aspetti della cultura e delle tradizioni popolari romane, sebbene costantemente presente nella nostra vita di ogni giorno. Solo sporadicamente, infatti, e in modo frammentario, il dialetto romanesco è stato oggetto di studio. Questo di Fernando Ravaro si presenta molto probabilmente come il tentativo più completo di dare una veste organica e una adeguata valorizzazione a un insostituibile patrimonio popolare. Scorrono da ""abbacchia"" a ""zurugnone"" i vocaboli noti, ma anche quelli a noi meno familiari del linguaggio di Roma: una autentica miniera per il lettore curioso e per tutti gli amanti della Città Eterna. Introduzione di Marcello Teodonio.";Reference / Dictionaries
13;Anonymous, |Italiana), CEI (Conferenza Episcopale|italiana, Conferenza episcopale;La Sacra Bibbia. Versione Ufficiale Cei;9788840180656;La Bibbia - testo ufficiale CEI.<br>Con introduzioni, commenti, illustrazioni e CARTINE;Bibles / General
14;Castrucci, Augusto|libertari, Unione ferrovieri anarchici e;Battaglie E Vittorie Dei Ferrovieri Italiani;;;
15;Russell, Bertrand;Storia Della Filosofia Occidentale;9788878192652;"Vero e proprio capolavoro di sintesi e di chiarezza espositiva, la ""Storia della filosofia occidentale"" si offre come un quadro completo dello sviluppo del pensiero filosofico, all'interno del quale i singoli pensatori sono collocati nel loro contesto storico e sociale a dimostrare che l'opera di un filosofo non sorge mai isolata, bensì riflette ed elabora le idee e i sentimenti che sono comuni alla società di cui fa parte. L'opera di Russell, priva di difficoltà terminologiche e di disquisizioni tecniche, rappresenta uno dei migliori e più conosciuti esempi di divulgazione filosofica.";
16;Battaglia, Roberto|Roberto Battaglia, Giuseppe Garritano|Giuseppe, Battaglia Roberto - Garritano|Garritano, Giuseppe;Breve Storia Della Resistenza Italiana;9788835942351;;Guerra, Resistenza e Storia Del PCI
18;Henein, Georges;Prestigio Del Terrore;;;
19;Tronti, Mario;Operai E Capitale;9788865480786;"""Operai e capitale"" è unanimemente riconosciuto come il testo fondamentale dell'operaismo italiano, un filone di pensiero politico che dall'inizio degli anni Sessanta a oggi ha prima rivoluzionato e poi continuamente condizionato il panorama del dibattito internazionale della sinistra istituzionale ed extra-istituzionale. Nel corso degli anni Sessanta la lettura di ""Operai e capitale"" ha prodotto un metodo di analisi, un atteggiamento, un lessico innovativi, contribuendo alla formazione culturale di migliaia di nuovi militanti attivi nelle fabbriche, nelle scuole, nei territori. Militanti che in seguito diedero vita al sindacato dei consigli e alla formazione di vari gruppi extraparlamentari. Concetti come ""neocapitalismo"", ""composizione di classe"", ""operaio massa"", ""piano del capitale"", ""inchiesta e conricerca operaia"" si sono man mano imposti nel lessico del dibattito politico fino a diventare senso comune. A quasi cinquant'anni dalla sua prima pubblicazione ""Operai e capitale"" assurge a testo classico, e quindi nobilissimo, della storia del movimento operaio. Non per questo i suoi contenuti sono da considerarsi inattuali. Al contrario, offrono ancora una straordinaria chiave di lettura dei rapidi e profondi processi di trasformazione del lavoro e di scomposizione delle classi in corso negli ultimi decenni.";Politica
